start	end	text
684600	694600	working together. But for the user experience, it's one big storage of data. And data is not
694600	702040	available only in English, but in over 200 different languages. And that's why I just
702040	707240	showed you the English interface. You can also trigger the Dutch interface of Wikidata. And then
707240	714920	you will see all these texts here. Those are all in Dutch. You can also do it in Portuguese,
715720	723640	and even in Japanese. Most of the items here are also available in Japanese, as you can see here.
726120	733320	All right, that was the first three. The fourth thing is that on Wikidata, that it contains
733400	740200	linked data. And how do I explain this? The phrase that you use is linked data is about
740760	745720	things, not strings. And it is made clear by looking at, for instance,
747800	754120	after whom the Eiffel Tower was named, being Gustav Eiffel. And this text you see here,
754120	760440	Gustav Eiffel, that's not plain text, but it's actually a URL you can click on. It's a clickable
760440	768680	link. And when you click on this link, you will go to the Wikidata item on Gustav Eiffel. And in
768680	773400	Gustav Eiffel, there are the other blue links, as you can see here, that use a human, etc. You can
773400	779480	also click on those, and then you'll go to the Wikidata items on, in this case, human.
780280	788200	This is meant by, so these are all entities in semantic terms, and not just ordinary strings.
788760	794760	These are mutually interconnected, as will be clear from this example. So there are like a
794760	800840	billion and billions of connections between all the items in Wikidata. So it's strongly internally
800840	807880	connected. But also Wikidata is strongly connected to the outside world, because in this case, for
807880	815160	the Eiffel Tower, these are all databases you see here, in which the Eiffel Tower is also described.
816120	822520	And if you, for instance, look at this one, the skyscraper center building ID, and if you click
822520	827880	on this identifier in that particular database, you will get a description of the Eiffel Tower
827880	833960	in this database. Currently, there are over 9,000 different databases known to Wikidata.
833960	839640	So in theory, it's not the case, but provided they would all have an item on the Eiffel Tower,
839720	848120	this list of external databases would be 9,000 rows long. But that's just an illustration of
848120	851000	how many databases are actually available in Wikidata.
853240	861800	Okay, number five, Wikidata is free and open. And what do I mean by free? Free is as in gratis,
861800	868680	as in you don't have to pay money for it. And open is free. So you can go to the website,
868680	876440	pay money for it, to access it. Also, there are no trackers, like cookies and stuff in Wikidata.
876440	885720	And you will never see an ad that you have to avoid or click on. Because Wikidata is actually
885720	894280	under the same funding as Wikipedia. It's financed by getting annual donations from
894280	904920	about 7 million people from all over the world. Also, what is also defined by the word open here
904920	912120	is that the fact that in Wikidata, all the data is free of copyright and also free of database rights.
912120	919640	And that's because all the data in Wikidata is under the CC0 license. Effectively, this means
919640	928280	that all the data is dedicated into the public domain. This has two big consequences, this
928280	935720	principle that it is open. First of all, everybody is allowed to reuse the data in Wikidata. So you
935720	942280	can search it, you can share it, you can copy data, you can actually download all of Wikidata
942280	947400	and sell that as a commercial product. That's fully allowed because it's all in the public domain.
950600	958840	Secondly, the open nature of Wikidata also means that everybody can contribute data. Everybody can
958840	966840	add data, everybody can improve data, they can join two similar items, they can delete items, they can
967960	973400	add other kinds of information to Wikidata. And if you think that's true, there are actually a lot of
973480	980120	people that like doing that. Personally, I'm quite fond of adding new data to Wikidata.
981240	987560	And I'm not the only one in the world, because there is a strong Wikidata community.
989240	997560	And there are about 23,000 people on the planet that work on Wikidata at least once a week,
997560	1006040	that's meant by active contributors. Of which I am one. So I have, you could also say that I have
1006040	1016360	23,000 colleagues all over the world, which I can reach out to if I need any help, or if I can,
1016360	1025720	if I also can give knowledge and my time and my knowledge about Wikidata, I can give them to them.
1026280	1031080	And what you also see on the background, I will come back to this later in a bit more detail,
1031080	1036840	but these people, they really like to meet each other, because I think every week or so, and
1036840	1043160	perhaps more often, somewhere in the world, there is a gathering of people working on Wikidata.
1044520	1049080	So this is an international bunch of people, really ranging from here, this is the Netherlands,
1049080	1055080	this was in Haiti, this was in Nigeria, if I remember correctly, this was in Nepal, I guess.
1055800	1065880	So a really international crowd, and I think the community is the unique selling point of Wikidata.
1065880	1074840	And why do I think so? In the previous slide I told that you can, in principle, you can download
1074840	1080440	Wikidata fully, the full database, and you can try to build a commercial product around it.
1081080	1086760	That's actually, I guess, not a totally unachievable task, it's a doable effort,
1087320	1093720	but what you don't, what you can't buy with money is the commitment and the time and the enthusiasm
1093720	1101560	and even the love of people for Wikidata. You can't buy these 23,000 people to actually come
1101560	1106440	and work at your new commercial version of Wikidata. And this is actually, I think, the
1106440	1112520	unique part of Wikidata, that there is this community that is really enthusiastic about
1112520	1119560	Wikidata, is helping each other all the time, it's global, it's very open, very friendly people,
1120280	1130200	which money simply can't buy. And more about the Wikidata community later in this presentation.
1131160	1138440	Okay, and the final guiding principle of Wikidata is number seven. This has to do with the fact that
1138440	1145160	Wikidata is both for humans. You can have, as a human, you can have an interaction with Wikidata
1145160	1152680	via the web interface of Wikidata. So you can read this stuff, but you can also change it and edit it,
1152680	1158840	and you can merge it, etc. And all these kind of operations you can do via the graphical user
1158920	1167640	interface, typically associated with HTML. But if you're a machine, or if somebody actually writes
1167640	1173240	a script to have machine interaction with Wikidata, that's also fully possible, because all
1173240	1181160	the things you can do via the graphical user interface, you can also do via a set of APIs.
1181160	1187240	So these are actually fully equivalent. If you can, everything you can do here, you can also do
1187240	1199000	programmatically via the API. All right, so far for the first two items on the agenda of this
1199000	1205640	theoretical part. What I would like to do next is to have a look at how things are actually
1205640	1215720	described in Wikidata. All right, so let's look at how things are described in Wikidata.
1216040	1223480	And this is always the classical image that is also available on the front page of the Wikidata
1223480	1229960	website. To illustrate this principle, we have this thing, in this case the Earth, and this has this
1229960	1236840	property, in this case the highest point. And this property has a value, and in this case it's
1237800	1247560	Mount Everest. And in Wikidata terms, it goes as follows. The Earth, which is Q2, and this Q number
1247560	1254120	in Wikidata, that's a unique identifier of the thing that is being described. So apparently,
1256120	1262360	the Earth was the second thing ever to be described in Wikidata. Q1 is the universe, Q42 is
1263320	1271000	Douglas Adams, of course, all the way up to Q140 million at the moment. And this is just a number
1271000	1278120	that goes up every time a new Wikidata item is created. This Q2 has this property, highest point.
1281320	1286760	So this is this Q2 thing again, sorry. And this has this highest point, which is a property
1286760	1292840	in Wikidata, denoted by the P number here. And this is apparently the 610th property that was
1292840	1303240	ever recorded in Wikidata. And the value of the thing is here, the Q number for Mount Everest,
1303240	1310280	actually hidden by my little camera here. But this is, I can't read the Q number actually,
1310280	1315480	but this is a Q number. So it's always QPQ, hence the Q, so like this,
1316120	1325720	actually the classical semantical triple. So let's illustrate that a bit further by looking at
1325720	1332840	the item of the KB in Wikidata. And the KB has this unique identifier. So that is the
1333480	1339480	unique Q number by which the National Library of Netherlands is identified.
1340840	1347880	And this block on top, that's called the fingerprint in Wikidata terms.
1349800	1353800	This is multilingual. As you can see, there is a description in English, in German, in Spanish,
1353800	1360680	etc., also in Dutch, of course. And this has these fields of a label. So this is the title of the
1360680	1367320	item. And this is also reflected here. So if I were to change this, then this would change.
1368280	1373480	A little description, so a short characterization of what the thing is. This is the National
1373480	1379080	Library of the Netherlands. And here are these aliases, also known as alternative names,
1379080	1384760	by which this particular item is known, like the KB or the Royal Library, etc.
1387240	1393880	Next, if you scroll down that item page, then you will see that there is a claim made about
1394840	1400840	the country in which the National Library is. So this is again the same QBQ triple. So it's
1401560	1409800	the KB, Q number, this number. The country is identified by property 17 in Wikidata.
1410840	1418680	And the value of this property is it's in the Netherlands, which has number Q55.
1419400	1426600	And the place where this information comes from, the source reference, is listed as in this block.
1426600	1432920	This is called the reference. And it says, well, the claim that the KB is in the Netherlands is
1433960	1439640	drawn from this website, which was published in December 2019.
1442040	1445560	And this information was retrieved on this, the 12th of December,
1445560	1451800	2021. Everything that is in Wikidata should have a source reference. You can also see it here,
1451800	1458040	for instance, this claim has a reference, this has a reference, this not yet. But if you're
1458040	1465560	working on Wikidata, always try to add references to where you found the information that is being
1465560	1472840	given in the item. Then if you scroll down, you will see that there is a claim that the
1473800	1487720	KB is a member of a range of library associations. And if you look at this one, it's the KB is a member of the Conference of European National Librarians.
1489400	1496200	And in this bit, point in time 2002, so this claim was true in this year, this refinement,
1496200	1501080	that's called a qualifier. So qualifier is always the thing that refines the
1506040	1515560	how do you call that? The upper general, more general statement.
1519560	1525000	And finally, there is a list of external identifiers, just the same as I showed you with
1525000	1535160	the Eiffel Tower. And so these are all claims about the National Library. Okay, I actually
1535160	1543960	already mentioned that currently there are 9,000 over 9,000, to be said 9,045 different databases
1543960	1550040	known to Wikidata. And all these databases have their own properties. As you can see here,
1550040	1556520	these are all P numbers. So these all have their own properties. And actually, this is one of the
1556520	1563000	major functions of Wikidata is to be a hub on the internet to connect all kinds of databases
1563000	1570360	together. And I don't know any other registry or any other big place where so many different
1570360	1578520	databases are recorded. So if you want to discover obscure databases that you will never have heard
1578600	1586520	of before, Wikidata is the place to go to. If you just go to this and you check them out, you will
1586520	1597480	be amazed what kind of data is recorded in the world. And if you want to check out this information
1599640	1604520	in a bit more relaxed or laid-back manner, you can go to this page. This is a page on the
1604520	1611560	simplified data model of Wikidata. Basically, here is the same information as I just explained
1611560	1619560	to you is available, but you can read it at your own pace. And one thing I need to point out is
1620200	1628120	the following, that Wikidata has a version history. And this means that every edit that is stored
1629080	1636520	is stored forever. So everything you do in Wikidata is recorded. And you can always go back to previous
1636520	1645160	versions of the document and make sure that you don't put anything in Wikidata that is private
1645160	1655000	or secret. Because once it's in Wikidata, it is public forever. So be careful about what you add
1655000	1667240	to Wikidata. All right. Now let's look at some examples of what kind of information can be
1667240	1674440	requested from Wikidata. And I'm going to build it on three slides we saw before. The fact that
1674440	1681160	all the data in Wikidata is stored centrally. That it has all kinds of things, Wikidata,
1682120	1689240	and that everything is interconnected. Those three things, if you combine them together,
1689240	1694600	centrally stored, all sorts of things and everything is connected, you can ask really
1694600	1700600	interesting questions to Wikidata. If you want to ask questions to Wikidata, you do that via
1700600	1707720	a search language which is called Sparkle. It's like a dialect of SQL. And this is a common search
1707720	1714760	language for linked open databases. I'm not going to go into detail on Sparkle. That's an entire
1716200	1721560	day in itself, I guess. I can give workshops and lectures on that as well. But it's far
1721560	1729720	beyond the scope of this introductory workshop we're doing at the moment. But what I would like
1729720	1736360	to do now is to look at some results that you can get from Sparkling in Wikidata. For instance,
1737320	1744440	you can ask Wikidata, give me some depictions of house cats and you will get up this result.
1746040	1752440	And if you click on this link, it will trigger this gallery, this depiction gallery.
1753960	1759480	You can also ask Wikidata, give me a list of things that are named after French presidents,
1759480	1765080	but which are outside of France. And you will, for instance, discover that in
1765080	1772680	Ivory Coast, apparently there is a bridge named after General De Gaulle. You can really make
1772680	1781720	interesting discoveries. And in Poland, there's also a roundabout called, of course, named after
1781720	1790760	Charles De Gaulle, etc. Or you can ask, give me a list of the causes of death of American presidents.
1791400	1799960	Or you can say, man, Nobel Prizes were awarded last week. And I wanted to know, well, who were
1799960	1804680	Dutch people that were nominated for a Nobel Prize, but actually never won the prize?
1806280	1812520	You get this list and you see that the Dutch author of Simon Vesdijk, he was nominated 11
1812520	1819080	times for the Nobel Prize, but he never won it. That's quite sad. But if you think,
1819320	1826440	Simon Vesdijk is a sad guy, think again, because this guy, Johannes Willem Sommerfeld,
1827320	1836120	he was nominated no fewer than 84 times for the Nobel Prize, but he never won it. And, yeah,
1836120	1842760	the cruel thing is that all of his PhD students, of like, like, 10, I believe 10 or so of his PhD
1842840	1851640	students, were actually winners of Nobel Prizes. But the man himself never won it, I'm afraid.
1853880	1860200	This is also a really nice query to show you the power of Wikidata paintings with alliterative
1860200	1869400	titles. I think about, for instance, like, what was it, an Apollo artist,
1869800	1874200	Cesar Chechime, so all alliterations.
1877640	1882280	10 largest cities with female mayors, you can also request that these are the cities,
1882280	1889240	these are the populations, and these are the female mayors. And finally, you can request a list
1889240	1897080	of birthplaces of economists that already died, divided by time period. So these are the time
1897080	1902920	periods, and the different colors represent each one, one time period here. And these are the
1902920	1909640	places where these economists, these already deceased economists were actually born.
1914040	1920920	Okay, this is to show you the power of Wikidata, basically. And now for the next block,
1920920	1927800	I would like to look at the things we saw before, all quite, let's call it more technical,
1927800	1935240	more data aspects of Wikidata. And I would like to have a also look at the social slash community
1935240	1941000	aspects of Wikidata. And this, if you ask this question, who builds Wikidata?
1942760	1946200	Then the answer is the community, because it's a community project.
1946520	1954440	And here on this slide, you see a roughly 1% of all the people in the world that's working
1954440	1961720	on Wikidata. And what I already told actually is that there are currently 23,000 active contributors
1961720	1970280	to Wikidata. And it has been in existence since October 2012. So currently we're celebrating the
1970360	1977720	12th birthday of Wikidata. And since that time, they have made 2.25 billion edits, which is an
1977720	1986600	awful lot. These people don't only like to work on Wikidata as a data thing, but they also,
1986600	1994200	as you can see from this group, they like to meet each other. And when you become active
1995160	2001560	in the Wikidata community, as I said, you like to meet each other, but you also will,
2003320	2009080	by experience, be drawn to certain roles or certain tasks within the community
2009720	2016920	that you like more than others. And here you can see a number of roles that are
2018360	2023000	present in the Wikidata community. It can be a developer, or it can be an ambassador,
2023000	2033080	or it can be a translator. And when you look at a somewhat larger list of different roles you can
2033880	2041080	fulfill within the community, you will see that there are, this is not a hard division, but
2041720	2050600	I try to group the more hard data roles, like being a developer, or data editor, or data modeler,
2050680	2059640	or a SPARQL expert, here above the line here. But the nice thing about Wikidata is also that there
2059640	2066760	are lots of roles you can have in the community that are not really about hard data, but like,
2066760	2073960	you can translate in data in Wikidata, or you can be an event organizer. So all these events that
2073960	2079880	take place all over the world with subgroups of the Wikidata community, these are all organized
2079880	2085400	by those people themselves. So you can also, if you like organizing events, you can become a member
2085400	2092680	of the Wikidata community. Or you can do communication and outreach, or what I'm doing right now at this
2092680	2097000	moment, I can be a teacher, a trainer, and a speaker. This is also a role you can have
2098520	2105960	in the Wikidata community. So for every type of job role, there's always a place for you within
2105960	2117000	Wikidata. And another thing to shed another light on the community is the following. I asked
2117560	2125000	JetGPT last week, what can you tell me about the mindset behind the Wikidata community?
2125720	2132680	And it came up with this really great answer. This was spot on, so I just copied it. I didn't
2132680	2139640	try to paraphrase it in any way. It's all about openness and transparency. It's about
2139640	2145800	collaboration and collective intelligence, the wisdom of the crowd here. It's about inclusivity
2145800	2152760	and diversity. Everybody is welcome from all over the world, independent of country, sexual
2152760	2158280	preference, education, etc. You're all very welcome, independent of culture, language,
2158280	2167560	expertise, etc. It's all about innovation and experimentation. It's about a strong culture of
2167560	2178040	experimentation, which is exactly how I personally like to work. I like to experiment with stuff.
2179320	2186440	It's about supportive collective learning, and it's about having an impact on the entire planet.
2186440	2192920	It's a global database. It's a global project. And this is also in the mind of people working
2192920	2198440	on Wikidata, that you're not doing this for your own institution or your own country even, but it's
2198440	2210600	really geared towards the entire world. This also means, this community sense, is that people like
2210600	2215480	to meet each other, as I already said, and it really happens all over the world. These are all
2215480	2223560	images of celebrations of Wikidata birthdays in the past, and you see it's from Indonesia, India,
2223560	2231640	Nepal, Germany, Netherlands, Turkey, etc. So it's a really global community.
2235800	2242680	Once every year, on average, there is this big international meetup of people that like Wikidata.
2242680	2249000	This is called WikidataCon. And here you can meet people from all over the world that are
2251080	2259320	working and are enthusiastic about Wikidata. And one of the events that takes place right now,
2259320	2265320	this month, is the birthday celebration of Wikidata. Currently we do the 12th birthday.
2266200	2272440	And people, they come together, they really celebrate Wikidata, they bake cakes with the
2272440	2278600	Wikidata logo on it, and they have their favorite t-shirts on. And it's really, you see, quite
2278600	2288760	literally all over the world, Wikidata is being celebrated. Also, throughout the year, many
2288760	2293720	Wikidata workshops are giving, introduction workshops, as I'm doing at the moment here right now,
2293720	2300680	but also more advanced workshops are also given, or more specialized technical meetups,
2300680	2309320	like hackathons and editathons, they're also happening quite often. And as a good community,
2309320	2315160	of course, you have your community swag, you have your t-shirts and your caps and your
2315960	2322840	breadcases and your brooms and your pens, etc. And this is me personally wearing my Wikidata t-shirts,
2322840	2330200	etc. It says stickers, of course, to put on your laptops. This is also a manifestation of the
2331240	2339720	fandom that many people have about Wikidata. So I hope this little section gave you some feeling
2339720	2345640	of the human side of Wikidata, I think I call it that way, the social and community aspects
2345640	2355560	which makes Wikidata such a nice place. Okay, then I've arrived at the last part of my,
2356440	2362760	this particular presentation, this talk. And this talk, this part is to do with
2364280	2371240	illustrating how Wikidata can be relevant for research, science and cultural heritage.
2371240	2378360	And this is actually a section I made especially for this workshop, this lecture.
2379320	2387320	So let's find out what it is. I think this section will take about 15 to 20 minutes.
2388840	2397480	So then we'll have a full hour of presentation done. This is not much time, 15 to 20 minutes is
2397480	2404920	not a lot of time to actually talk about this topic. So as you will see, this section will be
2404920	2410760	quite anecdotic. It's not a concise treatment of all the various aspects of Wikidata has
2410760	2416040	in relation to research, science and cultural heritage. But it's like, I will bring forward
2416040	2424280	a number of use cases which hopefully will illustrate this sentence here in a nice way.
2425240	2430680	And when I was thinking how shall I introduce this part of the presentation,
2432040	2438440	I thought the following. My line of thought was as follows. In this slide that we saw before,
2440680	2445080	you see actually that Wikidata holds data about many fields of science and research,
2445080	2452360	like chemistry, astronomy, genetic sciences, scientific articles, biology and stuff,
2452600	2459000	and et cetera here. And what I thought, well, actually, I don't need to talk about
2459560	2466680	what Wikidata holds for science, but the other way around, what science holds for Wikidata.
2467640	2475560	So I looked up a visual representation of all of human knowledge. These are all fields of
2475560	2482440	human knowledge, as you can see. And I asked myself the question, to what extent is Wikidata
2482440	2492120	used throughout science research and GLAMP slash cultural heritage? And actually,
2493880	2499240	I didn't have an immediate answer to that. So I tried searching academic databases,
2499240	2505080	looking for articles on Wikidata, and then plot them on certain fields of knowledge.
2506280	2513160	And this was not immediately an easy exercise until I found this website. You can see here at
2513160	2519240	the very bottom of the slide, it's called SemanticScore.org. This is a service that you can
2519240	2525560	search over 200 million scientific articles with. And if you do this query, you can look for
2525560	2531000	articles that are related to Wikidata. And the nice thing about SemanticScore is that you can
2531320	2538760	filter on fields of study. And this is what I did to get an overview of this. And then I found out
2538760	2547640	that Wikidata is used in the area of gender studies, and also on history and linguistics,
2547640	2557400	and geography and sociology and information science, art, astronomy, biology and microbiology,
2557400	2564200	computer science, medicine, environmental sciences, and even in ecology.
2566280	2579800	So it's certainly not a full, not every domain of human knowledge is represented via Wikidata,
2579800	2584920	but quite a few. And I also think that increasingly, because I think if you did
2585000	2590200	that exercise 10 years ago, you would have far less white bins here. So increasingly,
2590200	2598040	you Wikidata shows its relevance for increasingly more fields of knowledge.
2600600	2607960	And what I would like to do now is to look at six case studies, six anecdotal cases. And
2607960	2611880	there's a little point, of course, I did it anecdotally, because it's about Wikidata.
2612840	2619080	And look at six use cases, which hopefully show or at least illustrate
2619960	2624840	how Wikidata can be relevant for that particular field of science.
2629160	2636040	And the first case study, the first case I would like to bring forward has to do with
2636040	2641400	the field of scholarly communication or scientometrics. And scientometrics is the
2643880	2649880	quantitative study of science and scientific communication. So for instance, if you want to
2649880	2658040	know who is the most cited author in a certain field of science, or the most prolific journals
2658040	2664840	in a certain field, that's the things that are being studied in scientometrics.
2665480	2672280	And a really nice scientometric tool is Skoolia. And what's Skoolia? Skoolia is a service that
2672280	2678760	creates visual scholarly profiles for researchers, articles, organizations, etc.,
2679320	2690120	all based on information from Wikidata. And I need to illustrate this, of course,
2691000	2696120	otherwise it will be a bit abstract. And the first profile that I would like to show you is
2696120	2701480	the profile from this professor here at Maastricht University, Gerard van Breukelen.
2702280	2710920	And this is a Skoolia profile of Gerard. And if you go to this profile, what kind of things will
2710920	2717480	you actually encounter? First of all, there's a list of publications. So where he was the author
2717480	2726040	or one of the co-authors of the article. I have to be specific, these are not necessarily
2726040	2732920	all the articles that Gerard published, because these are only the articles that are recorded
2732920	2740200	in Wikidata. And I'm not sure if Wikidata has a complete inventory of all of his articles.
2740200	2745800	But for the articles that are available, you can make this list. You can also make this plot,
2746360	2752440	like how many articles he published over the years, either as the main author or one of the
2753320	2764280	co-authors or as a lower rank author. You can see by this, how I call it, bubble chart,
2764280	2772200	it's called what kind of research topics Gerard van Breukelen is involved in, and also in which
2772280	2782360	journals he published most. The bigger ones are the most often, I'm sorry, the journals he used
2782360	2788520	most often for his publications, and the smaller ones are the less used journals.
2791400	2798520	This is a graph of the co-authors, so the people who Gerard van Breukelen collaborated with in
2798520	2805560	writing his articles. And you can also see where these co-authors work across the globe by this
2805560	2814200	co-author map. And finally, you can also check out which articles by Gerard van Breukelen were
2814200	2821720	cited most often. And apparently this ANCOPA paper was cited 206 times. And of course,
2821720	2829720	you can also give the number of citations over the years. So this is how such a profile on
2829720	2839720	Skoolia is composed. And the nice thing about Skoolia is that you cannot only request these
2839720	2847720	profiles for authors, for people, but also for organizations or for articles or for journals or
2847720	2856840	for topics like obesity or for taxons like the Moser-Saurus or chemical elements. These are all
2856840	2864360	possible, so you can have all these really nice ways to have various facets and spotlights on all
2864360	2876280	sorts of, let's say, classes of information. If you want to read more about Skoolia, I can
2876360	2883320	recommend the base paper of Skoolia where the project is introduced.
2884840	2893320	This one. And if you want to read on Wikidata about Skoolia, you can go to the Skoolia page on Wikidata.
2896200	2902040	Okay, the second one, the second field of science and research I would like to bring forward is
2902600	2912280	life and biomedical sciences. And I'm mainly doing this because the author of this particular paper,
2913080	2919320	Andra Waagmeester, is also a very active community member of Wikidata. So I know him
2919320	2928840	more from the Wikidata community than from this particular field. And I must be honest, I'm a bit
2928840	2937240	anxious. I'm holding my horses, let's say. I'm a bit anxious. That's too strong. But I'm not
2937240	2945080	very familiar in this field of knowledge. So I'm not going to talk about this in too much detail.
2947560	2951160	But what I would like to forward is that in this paper,
2952120	2958120	Wikidata is being discussed as a knowledge graph for the life sciences. And this paper demonstrates
2958120	2963240	several use cases of Wikidata, including crowdsource creation of biomedical ontologies,
2963960	2971320	phenotype-based diagnosis of disease. I have no idea what this means, but I'll just take it for
2971320	2976200	granted that some of you might know it. And drug repurposing. And if you want to read the full
